open,high,low,close,volume
126.2,127.09,125.06,125.16,43757238
125.34,125.74,123.9,124.5,36619021
123.09,123.61,122.12,122.9,36954251
123.34,123.94,122.57,123.42,28564287
123.15,123.5,122.27,122.98,29151460
122.3,122.58,121.73,122.37,28321079
122.6,122.64,120.91,121.46,35654023
121.5,122.57,117.52,118.45,63302248
117.31,117.83,113.37,114.75,109054693
112.97,117.44,112.1,115.39,89734198
115.97,116.5,114.115,115.14,47041153
114.57,116.25,114.5,115.54,34461818
116.53,119.99,116.53,119.72,48978027
117.97,118.18,113.33,113.55,87651994
112.54,115.42,109.63,115.26,91729103
116.04,116.4,114.54,115.17,43747902
114.32,116.31,114.01,115.96,38654095
116.04,117.65,115.5,117.17,37270383
116.43,117.44,116.01,116.5,31024755
116.1,116.52,114.68,115.02,42396570
114.08,114.35,111.63,112.65,61362472
110.43,111.9,105.64,105.77,111370920
94.9,108.8,92,103.1299,136552536
111.1,111.15,103.5,103.75,86740874
107.05,109.89,105.05,109.7,83484085
112.23,113.24,110.02,112.92,73033725
112.17,113.32,111.54,113.29,46648635
112.03,114.53,112,112.71,48509515
110.18,111.88,107.36,107.73,66895181
110.33,112.33,109.131,112.33,52140654
112.48,112.78,110.04,110.34,46256514
108.97,110.45,108.51,109.17,42384972
111.65,112.56,110.32,112.31,45676681
113.76,114.02,109.77,110.1456,74790029
110.27,113.2825,109.9,112.59,55770719
111.79,114.2,111.76,114.2,43420449
116.58,116.89,114.86,115.3379,50093448
115.93,116.53,114.42,116.27,38309927
116.22,116.54,115.44,116.42,32972156
115.66,116.49,113.715,113.93,55411341
112.21,114.3,111.87,113.4899,55034822
113.67,115.37,113.66,115.22,39660260
113.38,114.18,112.5201,113.37,41894057
113.57,114.72,113.3,114.34,31999161
113.23,115.5,112.37,115,42181657
116.44,116.69,114.02,114.75,48999357
113.85,114.57,112.45,112.46,43020371
112.83,113.51,107.86,109.06,65493032
110.26,111.54,108.73,110.29,56098661
109.07,109.62,107.31,109.57,54079654
108.01,111.0136,107.55,110.28,49624798
109.87,111.3698,109.07,110.64,44584740
110.63,111.74,109.765,111.33,43041970
111.74,111.77,109.41,110.77,42226434
110.19,110.19,108.21,109.5,54898152
110,112.28,109.49,112.12,45920837
112.73,112.75,111.44,111.5801,26605967
110.82,112.45,110.68,111.79,28502402
111.29,111.52,109.56,110.21,39014295
110.93,112.1,110.49,111.85,33030464
111.78,112,110.53,111.02,33253074
110.8,111.75,110.11,111.73,25685587
111.34,114.17,110.82,113.8,43767752
114,115.58,113.7,113.76,37554682
114.33,115.5,114.1,115.49,36107370
116.7,119.228,116.33,119.09,51888184
118.08,118.13,114.92,115.27,58444017
115.4,116.54,113.99,114.58,50616331
116.93,119.3,116.06,119.3,77126335
118.7,120.69,118.27,120.53,44522780
120.99,121.22,119.45,119.505,41852969
119.87,121.36,119.61,121.19,28020028
120.79,123.49,120.7,122.59,39175176
123.13,123.82,121.62,121.95,37086643
121.85,122.69,120.18,120.91,33022644
121.11,121.81,120.62,121.06,27916777
120.96,121.81,120.05,120.58,26803176
116.9,118.07,116.061,116.78,50886515
116.37,117.42,115.21,116.11,41313334
116.26,116.82,115.65,115.74,28449600
115.2,115.57,112.27,112.33,40048909
111.38,114.24,111,114.18,32151889
114.92,115.05,113.32,113.67,24140379
115.76,117.49,115.5,117.2814,40578944
117.64,119.75,116.76,118.78,37750300
119.2,119.92,118.85,119.3,28614828
119.27,119.73,117.34,117.75,26296339
117.33,119.35,117.12,118.91,33371563
119.21,119.23,117.92,118.02,18054948
118.29,118.41,117.6,117.82,10511723
117.99,119.41,117.75,118.37,27978094
118.75,118.81,116.86,117.29,29966784
117.05,118.11,116.08,116.3,27552287
116.55,116.79,114.22,115.2,33603350
115.29,119.25,115.11,119,48715170
118.94,119.86,117.81,118.27,27923762
117.52,118.6,116.86,118.24,28860830
117.51,117.69,115.08,115.63,37928616
116.04,116.94,115.51,116.18,25350609
115.21,115.39,112.851,113.17,39275473
112.18,112.68,109.79,112.47,55540184
111.94,112.8,110.35,110.49,46145532
111.07,111.99,108.8,111.34,49686361
112.02,112.17,108.99,108.9999,39052007
108.91,109.52,105.81,105.95,60812399
107.28,107.37,105.57,107.32,37995834
107.4,107.72,106.451,107.21,27743975
107.27,108.85,107.2,108.61,26142448
109,109,107.95,108.03,11507846
107.59,107.69,106.1807,106.82,22679045
106.96,109.43,106.86,108.74,26689824
108.58,108.7,107.18,107.32,20647576
107.01,107.03,104.82,105.2299,34407732
102.61,105.368,102,105.33,47840273
105.75,105.85,102.41,102.71,47319218
100.56,102.37,99.87,100.7,60124085
98.68,100.13,96.43,96.54,68083100
98.55,99.11,96.76,96.98,60400480
98.97,99.06,97.34,98.53,42721303
100.55,100.69,98.8399,99.96,41812613
100.32,101.19,97.3,97.41,55622868
97.96,100.48,95.74,99.51,54777253
96.2,97.71,95.36,97.09,62629182
98.41,98.65,95.5,96.68,43391493
95.1,98.1897,93.42,96.81,62817353
97.06,97.88,94.94,96.26,42936023
98.63,101.46,98.37,101.42,57509112
101.52,101.53,99.21,99.466,41677693
99.93,100.88,98.07,99.98,55376442
96.04,96.6289,93.34,93.43,118812625
93.79,94.52,92.39,94.08,49345543
94.52,97.22,94.35,97.14,51178982
96.47,96.71,95.4,96.38,34645138
95.42,96.04,94.28,94.48,31366472
95,96.84,94.08,96.34,39060035
95.86,97.33,95.19,96.6,34453043
96.52,96.92,93.69,94.01,39757840
93.15,95.7,93.04,95.01,46800568
94.29,95.94,93.93,95.02,38799205
95.92,96.35,94.1,94.27,37234874
93.79,94.72,92.59,93.66,42738614
94.19,94.5,93.01,93.99,34389620
94.96,96.85,94.61,96.62,41327019
96.67,98.21,96.15,98.11,38114308
98.84,98.89,96.091,96.26,30537184
96,96.7599,95.8,96.03,28058950
96.31,96.9,95.92,96.87,29953526
96.4,96.5,94.55,94.69,25918605
93.98,96.38,93.32,96.1,31035570
96.05,96.76,95.25,96.76,23190207
97.2,98.0237,96.58,96.91,25138647
96.85,98.23,96.65,96.6501,25151829
97.69,100.77,97.42,100.53,44527222
